"gRNA","Cycle_No","chi_ratio","chi_sd","filtered","filtered.sd"
"1","gRNA1048",8,0.132244428934336,0.0525279907366208,0.760867889319799,0.0164943728261198
"2","gRNA1171",8,0.1414412932697,0.0472858097794524,0.756860262867277,0.00816911945147824
"3","gRNA1196",8,0.100222672726902,0.0757570002480465,0.764864899294444,0.0579460640687375
"4","No",8,0.044199813977832,0.00887316900181824,0.719792056133476,0.00726739637369418
"5","gRNA1048",15,0.20051766883883,0.0252995022096789,0.766518509375219,0.0182211105775035
"6","gRNA1171",15,0.202092782254752,0.0253161252153168,0.760113417832474,0.0150908070000188
"7","gRNA1196",15,0.202827798910178,0.0229952169903304,0.775052649137792,0.00706326498989964
"8","No",15,0.157141561077187,0.0316173428160334,0.706207136917531,0.0374598241239134
